timestamp,Above 0,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 48,Above 50,Above 52,Above 55,Above 57,Above 60,Above 65,Above 70,Above 75,Above 80,Above 85,Above 90,Above 95
2025-02-21T00:25:00Z,,,,,,,,,,57.93,,34.00,,34.00,,23.00,34.00,21.00,27.50,,,,
2025-02-21T00:26:00Z,,,,,,,,,,57.93,,34.00,,34.00,,23.00,34.00,21.00,27.50,,,14.00,
2025-02-21T01:37:00Z,,,,,,,,,,57.93,,34.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T02:14:00Z,,,,,,,,,,58.00,,34.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T02:39:00Z,,,,,,,,,70.00,58.00,,34.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T02:42:00Z,,,,,,,,,70.00,45.00,,34.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T02:51:00Z,,,,,,,,,70.00,46.00,,34.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T03:19:00Z,,,,,,,,,70.00,54.44,,27.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T04:38:00Z,,,,,,,,,70.00,51.00,,27.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T05:08:00Z,,,,,,,,,70.00,58.00,,27.00,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T05:33:00Z,,,,,,,,,70.00,58.00,,43.23,,34.00,,34.29,34.00,21.00,27.50,,,14.00,
2025-02-21T05:59:00Z,,,,,,,,,70.00,58.00,,43.23,,34.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T07:01:00Z,,,,,,,,,70.00,62.29,,43.23,,34.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T13:01:00Z,,,,,,,,,70.00,62.29,,43.23,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T14:08:00Z,,,,,58.00,,,,70.00,62.29,,43.23,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T14:32:00Z,,,,,58.00,,,,70.00,53.00,,43.23,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T15:15:00Z,,,,,58.00,,,,70.00,53.00,,43.23,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T16:43:00Z,,,,,58.00,,,,70.00,53.00,,14.00,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T16:44:00Z,,,,,58.00,,,,39.50,53.00,,14.00,,33.00,,33.00,34.00,21.00,27.50,,,14.00,
2025-02-21T16:45:00Z,,,,,58.00,,,,39.50,53.00,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T17:11:00Z,,,,,58.00,,,,39.50,47.76,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T17:21:00Z,,,,,58.00,,,,39.50,50.00,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T17:45:00Z,,,,,58.00,,,,39.50,42.21,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T18:58:00Z,,,,,58.00,,,,70.25,42.21,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T18:59:00Z,,,,,58.00,,,,70.25,44.41,,14.00,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T19:00:00Z,,,,,58.00,,,,70.25,44.41,,43.13,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
2025-02-21T19:33:00Z,,,,,58.00,75.00,,,70.25,44.41,,43.13,,33.00,,12.46,34.00,21.00,27.50,,,14.00,
